"query","candidate","type","p_relevant","p_irrelevant","adj_score","margin","keep","decision"
,,"S","0.915657","0.084343","0.915657","0.831314","True","keep"
,,"S","0.953463","0.046537","0.953463","0.906926","True","keep"
,,"T","0.937079","0.062921","0.937079","0.874158","True","keep"
,,"S","0.927844","0.072157","0.927844","0.855687","True","keep"
,,"T","0.94023","0.05977","0.94023","0.88046","True","keep"
,,"T","0.968883","0.031117","0.968883","0.937766","True","keep"
,,"T","0.883201","0.116799","0.883201","0.766402","True","keep"
,,"T","0.978579","0.021421","0.978579","0.957158","True","keep"
,,"S","0.317302","0.682698","0.317302","-0.365396","True","keep"
,,"S","0.524716","0.475284","0.524716","0.049432","True","keep"
,,"S","0.946642","0.053358","0.946642","0.893284","True","keep"
,,"S","0.854886","0.145114","0.854886","0.709772","True","keep"
,,"T","0.947661","0.052339","0.947661","0.895322","True","keep"
,,"S","0.355229","0.644771","0.355229","-0.289542","True","keep"
,,"T","0.933566","0.066434","0.933566","0.867132","True","keep"
,,"S","0.96563","0.03437","0.96563","0.93126","True","keep"
,,"S","0.976721","0.023279","0.976721","0.953442","True","keep"
,,"T","0.079845","0.920155","0.079845","-0.84031","True","keep"
,,"T","0.831744","0.168256","0.831744","0.663488","True","keep"
,,"T","0.247096","0.752904","0.247096","-0.505808","True","keep"
,,"S","0.967493","0.032507","0.967493","0.934986","True","keep"
,,"T","0.881583","0.118417","0.881583","0.763166","True","keep"
,,"S","0.907625","0.092375","0.907625","0.81525","True","keep"
,,"T","0.586916","0.413084","0.586916","0.173832","True","keep"
,,"T","0.835709","0.164291","0.835709","0.671418","True","keep"
,,"S","0.967902","0.032098","0.967902","0.935804","True","keep"
,,"S","0.783015","0.216985","0.783015","0.56603","True","keep"
,,"S","0.898687","0.101313","0.898687","0.797374","True","keep"
,,"S","0.855497","0.144503","0.855497","0.710994","True","keep"
,,"S","0.910856","0.089144","0.910856","0.821712","True","keep"
,,"S","0.96261","0.03739","0.96261","0.92522","True","keep"
,,"S","0.875186","0.124813","0.875186","0.750373","True","keep"
,,"T","0.960997","0.039003","0.960997","0.921994","True","keep"
,,"S","0.952539","0.047461","0.952539","0.905078","True","keep"
,,"T","0.838353","0.161647","0.838353","0.676706","True","keep"
,,"T","0.884779","0.115221","0.884779","0.769558","True","keep"
,,"S","0.779121","0.22088","0.779121","0.558241","True","keep"
,,"S","0.956587","0.043413","0.956587","0.913174","True","keep"
,,"S","0.94429","0.05571","0.94429","0.88858","True","keep"
,,"T","0.940751","0.059249","0.940751","0.881502","True","keep"
,,"T","0.944713","0.055287","0.944713","0.889426","True","keep"
,,"S","0.914993","0.085007","0.914993","0.829986","True","keep"
,,"S","0.971965","0.028035","0.971965","0.94393","True","keep"
,,"T","0.945932","0.054068","0.945932","0.891864","True","keep"
,,"S","0.977138","0.022863","0.977138","0.954275","True","keep"
,,"T","0.963173","0.036827","0.963173","0.926346","True","keep"
,,"S","0.951496","0.048504","0.951496","0.902992","True","keep"
,,"S","0.971677","0.028323","0.971677","0.943354","True","keep"
,,"S","0.974937","0.025063","0.974937","0.949874","True","keep"
,,"T","0.964806","0.035194","0.964806","0.929612","True","keep"
,,"T","0.931388","0.068612","0.931388","0.862776","True","keep"
,,"S","0.937298","0.062702","0.937298","0.874596","True","keep"
,,"T","0.545692","0.454308","0.545692","0.091384","True","keep"
,,"S","0.928955","0.071045","0.928955","0.85791","True","keep"
,,"T","0.956011","0.043989","0.956011","0.912022","True","keep"
,,"S","0.965803","0.034197","0.965803","0.931606","True","keep"
,,"T","0.857878","0.142122","0.857878","0.715756","True","keep"
,,"S","0.983799","0.016201","0.983799","0.967598","True","keep"
,,"T","0.959078","0.040922","0.959078","0.918156","True","keep"
,,"S","0.965955","0.034045","0.965955","0.93191","True","keep"
,,"T","0.942026","0.057974","0.942026","0.884052","True","keep"
,,"T","0.948178","0.051822","0.948178","0.896356","True","keep"
,,"T","0.912651","0.087349","0.912651","0.825302","True","keep"
,,"T","0.955857","0.044143","0.955857","0.911714","True","keep"
,,"S","0.951588","0.048412","0.951588","0.903176","True","keep"
,,"T","0.4013","0.5987","0.4013","-0.1974","True","keep"
,,"S","0.621842","0.378158","0.621842","0.243684","True","keep"
,,"T","0.890096","0.109904","0.890096","0.780192","True","keep"
,,"T","0.775808","0.224192","0.775808","0.551616","True","keep"
,,"T","0.750721","0.249279","0.750721","0.501442","True","keep"
,,"S","0.731809","0.268191","0.731809","0.463618","True","keep"
,,"S","0.114223","0.885777","0.114223","-0.771554","True","keep"
,,"S","0.247977","0.752023","0.247977","-0.504046","True","keep"
,,"S","0.25343","0.74657","0.25343","-0.49314","True","keep"
,,"S","0.135022","0.864978","0.135022","-0.729956","True","keep"
,,"S","0.208728","0.791272","0.208728","-0.582544","True","keep"
,,"S","0.259954","0.740046","0.259954","-0.480092","True","keep"
,,"S","0.159531","0.840469","0.159531","-0.680938","True","keep"
,,"S","0.339396","0.660604","0.339396","-0.321208","True","keep"
,,"S","0.175633","0.824367","0.175633","-0.648734","True","keep"
,,"S","0.19157","0.80843","0.19157","-0.61686","True","keep"
,,"S","0.686651","0.313349","0.686651","0.373302","True","keep"
,,"S","0.476952","0.523048","0.476952","-0.046096","True","keep"
,,"S","0.8442","0.1558","0.8442","0.6884","True","keep"
,,"S","0.768546","0.231454","0.768546","0.537092","True","keep"
,,"S","0.962618","0.037382","0.962618","0.925236","True","keep"
,,"S","0.911475","0.088525","0.911475","0.82295","True","keep"
,,"S","0.610039","0.389961","0.610039","0.220078","True","keep"
,,"S","0.952143","0.047857","0.952143","0.904286","True","keep"
,,"S","0.967147","0.032853","0.967147","0.934294","True","keep"
,,"S","0.951944","0.048056","0.951944","0.903888","True","keep"
